Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.266,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.547,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.75,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.985,TraderOne,Tick,0,10,-10,10,147600,,-147,147,147,OK
1.282,TraderOne,Tick,1,10,-9,9,147100,147100,-162,162,162,OK
1.5,TraderOne,Tick,1,10,-9,9,147100,147100,-162,162,162,OK
1.782,TraderOne,Tick,1,10,-9,9,147100,147100,-162,162,162,OK
2.0,TraderOne,Tick,1,10,-9,9,147100,147100,-162,162,162,OK
2.297,TraderOne,Tick,1,10,-9,9,147100,146900,-162,162,-1638,OK
2.547,TraderOne,Tick,11,10,1,-1,146400,146900,-309,-2691,-2891,OK
2.75,TraderOne,Tick,11,10,1,-1,146400,146900,-309,-2691,-2891,OK
3.0,TraderOne,Tick,11,10,1,-1,146400,146900,-309,-2691,-2891,OK
3.25,TraderOne,Tick,11,10,1,-1,146400,146900,-309,-2691,-2891,OK
3.5,TraderOne,Tick,11,20,-9,9,147500,146900,-456,-2544,-4344,OK
3.735,TraderOne,Tick,21,20,1,-1,146300,146900,-603,-3397,-3597,OK
4.0,TraderOne,Tick,21,20,1,-1,146300,146900,-603,-3397,-3597,OK
4.25,TraderOne,Tick,21,20,1,-1,146300,146900,-603,-3397,-3597,OK
4.516,TraderOne,Tick,31,20,11,-1,146300,146900,-750,-1471250,-4450,OK
4.75,TraderOne,Tick,31,20,11,-11,146300,146900,-750,-3250,-5450,OK
4.969,TraderOne,Tick,31,20,11,-11,146300,146900,-750,-3250,-5450,OK
5.25,TraderOne,Tick,31,20,11,-11,146300,146800,-750,-3250,-5450,OK
5.485,TraderOne,Tick,31,20,11,-11,146300,146800,-750,-3250,-5450,OK
5.719,TraderOne,Tick,31,20,11,-11,146300,146800,-750,-3250,-5450,OK
5.954,TraderOne,Tick,31,30,1,-1,147000,146800,-456,-3544,-3344,OK
6.204,TraderOne,Tick,31,40,-9,9,147000,146800,-162,-3838,-5638,OK
6.516,TraderOne,Tick,31,50,-19,19,147000,146800,132,-2132,-5932,OK
6.766,TraderOne,Tick,31,60,-29,29,147200,146700,426,574,-5226,OK
6.954,TraderOne,Tick,31,60,-29,29,147200,146900,426,574,-5226,OK
7.204,TraderOne,Tick,31,60,-29,29,147200,146900,426,574,-5226,OK
7.5,TraderOne,Tick,31,60,-29,29,147200,146900,426,574,-5226,OK
7.75,TraderOne,Tick,31,60,-29,29,147200,146900,426,574,-5226,OK
8.047,TraderOne,Tick,31,60,-29,29,147200,146900,426,574,-5226,OK
8.235,TraderOne,Tick,41,60,-19,19,147000,146900,279,-2279,-4179,OK
8.5,TraderOne,Tick,41,60,-19,19,147000,146900,279,-2279,-4179,OK
8.75,TraderOne,Tick,41,60,-19,19,147000,146900,279,-2279,-4179,OK
9.016,TraderOne,Tick,51,60,-9,9,146700,146900,132,-4132,-2332,OK
9.25,TraderOne,Tick,61,60,1,-1,146400,146900,425,-1425,-1625,OK
9.5,TraderOne,Tick,71,60,11,-11,146400,146900,718,1282,-918,OK
9.735,TraderOne,Tick,81,60,21,-21,146400,146900,1011,2989,-1211,OK
9.985,TraderOne,Tick,81,60,21,-21,146400,146900,1011,2989,-1211,OK
10.282,TraderOne,Tick,91,60,31,-31,146400,146900,1304,4696,-1504,OK
10.5,TraderOne,Tick,101,60,41,-41,146400,146900,1597,8403,203,OK
10.735,TraderOne,Tick,111,60,51,-51,146200,147000,1890,13110,2910,OK
11.0,TraderOne,Tick,111,80,31,-31,147300,147000,1597,1403,7603,OK
11.266,TraderOne,Tick,111,80,31,-31,147300,147000,1597,1403,7603,OK
11.454,TraderOne,Tick,111,80,31,-31,147300,147000,1597,1403,7603,OK
11.75,TraderOne,Tick,111,80,31,-31,147300,147200,1597,1403,4503,OK
12.0,TraderOne,Tick,111,90,21,-21,147400,147200,1450,-1450,2750,OK
12.266,TraderOne,Tick,111,90,21,-21,147400,147200,1450,-1450,2750,OK
12.454,TraderOne,Tick,111,90,21,-21,147400,147200,1450,-1450,2750,OK
12.782,TraderOne,Tick,111,90,21,-21,147400,147200,1450,-1450,2750,OK
13.016,TraderOne,Tick,111,90,21,-21,147400,147200,1450,-1450,2750,OK
13.235,TraderOne,Tick,121,90,31,-31,146700,147200,1303,697,-5503,OK
13.547,TraderOne,Tick,121,90,31,-31,146700,147200,1303,697,-5503,OK
13.782,TraderOne,Tick,121,97,24,-24,146700,147200,1508,-1608,-6408,OK
14.047,TraderOne,Tick,121,97,24,-24,146700,147200,1508,-1608,-6408,OK
14.297,TraderOne,Tick,121,97,24,-24,146700,147200,1508,-1608,-6408,OK
14.5,TraderOne,Tick,121,97,24,-24,146700,147200,1508,-1608,-6408,OK
14.75,TraderOne,Tick,121,97,24,-24,146700,147200,1508,-1608,-6408,OK
15.047,TraderOne,Tick,121,97,24,-24,146700,147200,1508,-1608,-6408,OK
15.282,TraderOne,Tick,121,97,24,-24,146700,147200,1508,-1608,-6408,OK
15.5,TraderOne,Tick,121,107,14,-14,146900,146800,1361,-3461,-2061,OK
15.75,TraderOne,Tick,121,107,14,-14,146900,146800,1361,-3461,-2061,OK
16.016,TraderOne,Tick,121,117,4,-4,146900,146900,1214,-6314,-6314,OK
16.25,TraderOne,Tick,121,117,4,-4,146900,146900,1214,-6314,-6314,OK
16.485,TraderOne,Tick,121,117,4,-4,146900,146900,1214,-6314,-6314,OK
16.735,TraderOne,Tick,121,117,4,-4,146900,146900,1214,-6314,-6314,OK
